Issue key,Summary,Status,Priority,Assignee,Created
TECH-2150,Clever - Test Window Screen - Inconsistent Font Sizes in Test Window Screen,To Do,Trivial,Vijay Damania,2026-01-06 17:25:00
TECH-2149,Clever - AAPPL Testing Window -  Screen/Menu label incorrectly limited to AAPPL,In Development,Trivial,Vijay Damania,2026-01-05 17:02:00
TECH-2045,ASL Demo - RC Component - Accessibility options- Black background is not displayed correctly,In Development,Trivial,Jongman Paek,2025-12-12 18:31:00
TECH-1959,CLONE - Rating Priority --> test priority glitch,Testing Complete,Trivial,Annie Wendel,2025-11-24 16:14:00
TECH-1889,WPT Demo - “Next” button label missing on instructions screens,To Do,Trivial,Jongman Paek,2025-11-05 12:41:00
TECH-1835,Clever - AAPPL Testing Window - Page refresh replicates previous actions and displays “Confirm Form Resubmission” message,Testing Complete,Trivial,Annie Wendel,2025-10-14 14:41:00
TECH-1834,Clever - AAPPL Testing Window - System allows generating new PINs for expired testing windows,Testing Complete,Trivial,Annie Wendel,2025-10-14 14:03:00
TECH-1833,Clever - AAPPL Testing Window - Inconsistent number of digits in generated PIN codes,Testing Complete,Trivial,Annie Wendel,2025-10-14 13:45:00
TECH-1785,DPE Exempted Agreement appears every login even if it was already signed previously,In Testing,Trivial,Alexa Altez,2025-10-08 11:26:00
TECH-1782,ALIRA DEMO - Image must have alternative text,To Do,Trivial,Annie Wendel,2025-10-06 14:40:00
TECH-1781,ALIRA - Font sizes and styles are inconsistent across the site ,To Do,Trivial,Annie Wendel,2025-10-06 13:24:00
TECH-1753,Font color and spacing issue on the Honor Code and Test Completion Screen,To Do,Trivial,,2025-09-17 16:25:00
TECH-1720,Tap to playback audio pop up in IL,Ready for Testing,Trivial,Valentina Lorusso,2025-09-12 15:46:00
TECH-1719,AAPPL Rater Site Text Issues,Ready for Testing,Trivial,Valentina Lorusso,2025-09-12 15:45:00
TECH-1712,"On Admin Site, PW prompt text is popping out on Prod - see video",To Do,Trivial,Jongman Paek,2025-09-12 10:12:00
TECH-1560,"[Admin Site] Rate Finalized, DC and RR queues doesn't have the ""Rater Note"" column.",Ready for Testing,Trivial,Yun Ju Lee,2025-08-12 12:03:00
TECH-1409,Rating Admin Site - Final Ratings Held - Dropdown menu repeats rater name ,To Do,Trivial,Jongman Paek,2025-07-29 15:46:00
TECH-1406,Rating Admin Site - Search filters do not work properly,To Do,Trivial,Jongman Paek,2025-07-29 14:23:00
TECH-1404,"[Rater Site] When fetching a test and do not enter a rating to it, after the session expires and the user logs back, it is prompted again to the rating screen which generates an error due to no test being fetched",In Testing,Trivial,Alexa Altez,2025-07-25 09:56:00
TECH-1398,Rating Admin Site - OPIC Retest queue - Overlapping Search Buttons ,To Do,Trivial,Jongman Paek,2025-07-24 11:55:00
TECH-336,"AAPPL - Safari  - User is logged out after exiting full screen mode during IL, RC & IR components",To Do,Trivial,Jongman Paek,2025-06-13 14:10:00
TECH-895,"CLONE - AAPPL Rating Admin issue with queues opening up in ""page 2"" view and with no tests",To Do,Trivial,Yun Ju Lee,2025-05-20 15:02:00
TECH-213,[Rating Admin Site] Weird behavior with Finalizing the OPIc test 2793048 / 2E4025411109 ,In Testing,Trivial,Alexa Altez,2025-05-20 12:45:00
TECH-217,"[AAPPL English Form A & B] In the PW component it is possible to block the ""Next"" buttons",To Do,Trivial,Jongman Paek,2025-04-11 14:30:00
TECH-218,"[AAPPL English Form A & B] In the IL component, the back navigation arrow is missaligned to the right",To Do,Trivial,Jongman Paek,2025-04-11 14:23:00
TECH-220,[AAPPL English Form A & B] Introductory/Teacher video frames in Firefox are left blank after the video plays,In Development,Trivial,Jongman Paek,2025-04-11 10:17:00
TECH-219,[AAPPL English Form A & B] If clicking the Finish button in the PW component while still pressing a key with the focus in the text box it prompts the user to an unsaved changes and a blank screen,In Development,Trivial,Jongman Paek,2025-04-09 13:04:00
